Day,Away,Home,RA,RH,Inn
3,137,ATL,TEX,6,5,9
3,137,CLE,CHW,2,7,9
3,137,PIT,DET,8,0,9
3,137,KCR,SDP,4,3,9
3,137,MIN,LAD,3,7,9
3,137,NYY,TOR,0,3,10
3,137,TBR,NYM,7,8,10
3,137,CIN,COL,6,11,9
3,137,PHI,SFG,4,7,9
3,137,MIL,STL,0,3,9
3,137,WSN,MIA,3,4,9
4,138,LAA,BAL,6,5,9
4,138,CLE,CHW,3,1,9
4,138,NYY,TOR,4,2,9
4,138,TBR,NYM,2,3,9
4,138,LAD,STL,8,16,9
4,138,WSN,MIA,3,5,9
5,139,SEA,ATL,2,6,9
5,139,OAK,HOU,1,5,9
5,139,MIN,LAA,4,5,9
5,139,COL,TEX,2,7,9
5,139,KCR,CHW,0,2,9
5,139,CLE,NYM,9,10,10
5,139,DET,WSN,8,6,9
5,139,BAL,TOR,6,2,9
5,139,BOS,SDP,6,1,9
5,139,NYY,CIN,6,2,9
5,139,MIL,TBR,0,1,9
5,139,ARI,PIT,3,13,9
5,139,LAD,STL,5,0,9
5,139,MIA,SFG,3,4,9
5,139,CHC,PHI,10,1,9
6,140,SEA,ATL,7,3,9
6,140,OAK,HOU,2,3,9
6,140,MIN,LAA,6,2,9
6,140,COL,TEX,5,11,9
6,140,KCR,CHW,1,5,9
6,140,DET,WSN,2,5,9
6,140,BAL,TOR,6,5,10
6,140,BOS,SDP,4,2,9
6,140,NYY,CIN,7,4,10
6,140,MIL,TBR,4,8,9
6,140,ARI,PIT,4,3,9
6,140,LAD,STL,5,6,9
6,140,MIA,SFG,1,0,9
6,140,CHC,PHI,3,12,9
0,141,SEA,ATL,2,3,9
0,141,OAK,HOU,0,2,9
0,141,MIN,LAA,2,4,9
0,141,COL,TEX,3,13,9
0,141,KCR,CHW,2,5,9
0,141,CLE,NYM,4,5,9
0,141,CLE,NYM,1,2,9
0,141,DET,WSN,4,6,9
0,141,BAL,TOR,8,3,11
0,141,BOS,SDP,0,7,9
0,141,NYY,CIN,4,1,9
0,141,MIL,TBR,6,4,9
0,141,ARI,PIT,8,3,9
0,141,LAD,STL,5,10,9
0,141,MIA,SFG,5,7,9
0,141,CHC,PHI,1,2,9
1,142,OAK,SEA,2,11,9
1,142,HOU,MIL,12,2,9
1,142,BOS,LAA,1,2,9
1,142,TEX,PIT,4,6,9
1,142,CHW,CLE,0,3,9
1,142,DET,KCR,8,5,10
1,142,SFG,MIN,4,1,9
1,142,TOR,TBR,4,6,9
1,142,ARI,PHI,6,3,9
1,142,MIA,COL,3,5,9
1,142,LAD,ATL,8,6,9
1,142,STL,CIN,5,6,10
2,143,OAK,SEA,2,3,9
2,143,HOU,MIL,0,6,9
2,143,BOS,LAA,0,4,9
2,143,TEX,PIT,6,1,9
2,143,CHW,CLE,4,2,9
2,143,DET,KCR,1,4,9
2,143,SFG,MIN,4,3,9
2,143,BAL,NYY,5,6,10
2,143,TOR,TBR,20,1,9
2,143,ARI,PHI,4,3,9
2,143,MIA,COL,4,5,9
2,143,LAD,ATL,8,1,9
2,143,SDP,WSN,7,4,9
2,143,NYM,CHC,2,7,9
2,143,STL,CIN,8,5,9
3,144,OAK,SEA,1,6,9
3,144,HOU,MIL,0,4,9
3,144,BOS,LAA,3,7,9
3,144,TEX,PIT,3,2,9
3,144,CHW,CLE,6,0,9
3,144,DET,KCR,6,4,9
3,144,SFG,MIN,1,7,9
3,144,BAL,NYY,9,6,9
3,144,TOR,TBR,3,7,9
3,144,ARI,PHI,5,6,10
3,144,MIA,COL,10,2,9
3,144,LAD,ATL,3,4,9
3,144,SDP,WSN,3,5,9
3,144,NYM,CHC,2,4,9
3,144,STL,CIN,3,10,9
4,145,OAK,SEA,2,3,9
4,145,CHW,DET,2,7,9
4,145,BAL,NYY,3,1,9
4,145,TOR,TBR,3,6,9
4,145,MIA,COL,6,7,9
4,145,SDP,WSN,8,6,9
4,145,SFG,MIL,5,0,9
4,145,NYM,CHC,10,1,9
4,145,STL,CIN,2,1,9
4,145,PHI,ATL,5,8,9
5,146,PIT,SEA,11,6,9
5,146,HOU,OAK,5,2,9
5,146,MIA,LAA,6,2,9
5,146,TEX,BAL,12,2,9
5,146,CHW,DET,12,3,9
5,146,STL,CLE,3,4,9
5,146,WSN,KCR,12,10,9
5,146,TOR,MIN,3,1,9
5,146,BOS,ARI,7,2,9
5,146,SDP,NYY,5,1,9
5,146,LAD,TBR,3,9,9
5,146,NYM,COL,5,2,9
5,146,SFG,MIL,15,1,9
5,146,CIN,CHC,9,0,9
5,146,PHI,ATL,6,4,9
6,147,PIT,SEA,0,5,9
6,147,HOU,OAK,6,3,9
6,147,MIA,LAA,8,5,10
6,147,TEX,BAL,5,3,9
6,147,CHW,DET,3,7,9
6,147,STL,CLE,2,1,10
6,147,WSN,KCR,4,2,9
6,147,TOR,MIN,7,9,9
6,147,BOS,ARI,2,1,9
6,147,SDP,NYY,2,3,10
